Frequency,CMD,S11_r,S11_x,S21_r,S21_x,S12_r,S12_x,S22_r,S22_x
1.29E+07,caps hf  0 0 2 4,-5.36E-01,1.12E-01,2.26E-01,7.66E-01,2.27E-01,7.66E-01,-4.95E-01,2.06E-01
1.29E+07,caps hf  0 0 2 5,-5.36E-01,1.12E-01,2.27E-01,7.66E-01,2.27E-01,7.66E-01,-4.95E-01,2.07E-01
1.29E+07,caps hf  0 0 2 6,-5.36E-01,1.12E-01,2.27E-01,7.66E-01,2.28E-01,7.66E-01,-4.94E-01,2.08E-01
1.29E+07,caps hf  0 0 2 7,-5.36E-01,1.11E-01,2.28E-01,7.66E-01,2.28E-01,7.66E-01,-4.93E-01,2.09E-01
1.29E+07,caps hf  0 0 2 8,-5.37E-01,1.11E-01,2.29E-01,7.65E-01,2.29E-01,7.65E-01,-4.93E-01,2.10E-01
1.29E+07,caps hf  0 0 2 9,-5.37E-01,1.11E-01,2.29E-01,7.65E-01,2.30E-01,7.65E-01,-4.92E-01,2.11E-01
1.29E+07,caps hf  0 0 2 10,-5.37E-01,1.10E-01,2.30E-01,7.65E-01,2.30E-01,7.65E-01,-4.92E-01,2.13E-01
1.29E+07,caps hf  0 0 2 11,-5.37E-01,1.10E-01,2.31E-01,7.65E-01,2.31E-01,7.65E-01,-4.91E-01,2.14E-01
1.29E+07,caps hf  0 0 2 12,-5.37E-01,1.10E-01,2.31E-01,7.65E-01,2.32E-01,7.64E-01,-4.91E-01,2.15E-01
1.29E+07,caps hf  0 0 2 13,-5.37E-01,1.10E-01,2.32E-01,7.65E-01,2.32E-01,7.64E-01,-4.90E-01,2.16E-01
1.29E+07,caps hf  0 0 2 14,-5.37E-01,1.09E-01,2.33E-01,7.64E-01,2.33E-01,7.64E-01,-4.90E-01,2.17E-01
1.29E+07,caps hf  0 0 2 15,-5.37E-01,1.09E-01,2.33E-01,7.64E-01,2.34E-01,7.64E-01,-4.89E-01,2.18E-01
1.29E+07,caps hf  0 0 2 16,-5.37E-01,1.08E-01,2.37E-01,7.63E-01,2.37E-01,7.63E-01,-4.86E-01,2.25E-01
1.29E+07,caps hf  0 0 2 17,-5.37E-01,1.07E-01,2.38E-01,7.62E-01,2.37E-01,7.63E-01,-4.86E-01,2.26E-01
1.29E+07,caps hf  0 0 2 18,-5.37E-01,1.07E-01,2.39E-01,7.62E-01,2.38E-01,7.63E-01,-4.85E-01,2.27E-01
1.29E+07,caps hf  0 0 2 19,-5.37E-01,1.06E-01,2.39E-01,7.62E-01,2.38E-01,7.63E-01,-4.84E-01,2.28E-01
1.29E+07,caps hf  0 0 2 20,-5.37E-01,1.06E-01,2.40E-01,7.62E-01,2.39E-01,7.62E-01,-4.84E-01,2.30E-01
1.29E+07,caps hf  0 0 2 21,-5.37E-01,1.06E-01,2.40E-01,7.62E-01,2.40E-01,7.62E-01,-4.83E-01,2.31E-01
1.29E+07,caps hf  0 0 2 22,-5.37E-01,1.05E-01,2.41E-01,7.62E-01,2.40E-01,7.62E-01,-4.83E-01,2.32E-01
1.29E+07,caps hf  0 0 2 23,-5.37E-01,1.05E-01,2.42E-01,7.62E-01,2.41E-01,7.62E-01,-4.82E-01,2.33E-01
1.29E+07,caps hf  0 0 2 24,-5.38E-01,1.04E-01,2.42E-01,7.61E-01,2.41E-01,7.62E-01,-4.81E-01,2.34E-01
1.29E+07,caps hf  0 0 2 25,-5.38E-01,1.04E-01,2.43E-01,7.61E-01,2.42E-01,7.61E-01,-4.81E-01,2.35E-01
1.29E+07,caps hf  0 0 2 26,-5.38E-01,1.04E-01,2.43E-01,7.61E-01,2.42E-01,7.61E-01,-4.80E-01,2.36E-01
1.29E+07,caps hf  0 0 2 27,-5.38E-01,1.03E-01,2.44E-01,7.61E-01,2.43E-01,7.61E-01,-4.80E-01,2.37E-01
1.29E+07,caps hf  0 0 2 28,-5.38E-01,1.03E-01,2.45E-01,7.61E-01,2.44E-01,7.61E-01,-4.79E-01,2.38E-01
1.29E+07,caps hf  0 0 2 29,-5.38E-01,1.02E-01,2.45E-01,7.61E-01,2.44E-01,7.61E-01,-4.78E-01,2.39E-01
1.29E+07,caps hf  0 0 2 30,-5.38E-01,1.02E-01,2.46E-01,7.61E-01,2.45E-01,7.60E-01,-4.78E-01,2.40E-01
1.29E+07,caps hf  0 0 2 31,-5.38E-01,1.01E-01,2.46E-01,7.60E-01,2.45E-01,7.60E-01,-4.77E-01,2.41E-01
1.29E+07,caps hf  0 0 2 32,-5.39E-01,9.96E-02,2.51E-01,7.58E-01,2.51E-01,7.58E-01,-4.73E-01,2.50E-01
1.29E+07,caps hf  0 0 2 33,-5.39E-01,9.93E-02,2.52E-01,7.58E-01,2.51E-01,7.58E-01,-4.73E-01,2.51E-01
